season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,Ntemp,Natemp,Nhum,Nwindspeed,Ntemp_cat,Nhum_cat,Nwind_cat,cnt_cat
Spring,0,Januari,0,0,Sabtu,0,1,0.24,0.2879,0.81,0.0,3,13,16,9.84,14.395,81.0,0.0,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,5,0,Selasa,1,2,0.3,0.3182,1.0,0.0896,0,26,26,12.299999999999999,15.909999999999998,100.0,6.0032,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,4,0,Selasa,1,2,0.3,0.3182,1.0,0.0896,0,2,2,12.299999999999999,15.909999999999998,100.0,6.0032,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,3,0,Selasa,1,2,0.32,0.3333,0.93,0.1343,0,3,3,13.120000000000001,16.665,93.0,8.9981,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,2,0,Selasa,1,2,0.32,0.303,0.93,0.2239,2,6,8,13.120000000000001,15.15,93.0,15.001299999999999,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,1,0,Selasa,1,2,0.32,0.303,0.93,0.2537,2,7,9,13.120000000000001,15.15,93.0,16.997899999999998,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,0,0,Selasa,1,2,0.3,0.2879,1.0,0.2836,6,19,25,12.299999999999999,14.395,100.0,19.0012,Dingin,Tinggi,Sedang,Rendah
Spring,1,Januari,23,0,Senin,1,2,0.28,0.2576,0.93,0.3284,2,35,37,11.48,12.879999999999999,93.0,22.0028,Dingin,Tinggi,Sedang,Rendah
Spring,1,Januari,22,0,Senin,1,2,0.26,0.2424,1.0,0.2836,4,64,68,10.66,12.120000000000001,100.0,19.0012,Dingin,Tinggi,Sedang,Rendah
Spring,1,Januari,21,0,Senin,1,2,0.26,0.2424,1.0,0.2836,8,112,120,10.66,12.120000000000001,100.0,19.0012,Dingin,Tinggi,Sedang,Rendah
Spring,1,Januari,20,0,Senin,1,2,0.26,0.2576,1.0,0.1642,8,161,169,10.66,12.879999999999999,100.0,11.0014,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,19,0,Senin,1,2,0.26,0.2576,0.93,0.1642,9,211,220,10.66,12.879999999999999,93.0,11.0014,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,18,0,Senin,1,2,0.24,0.2424,0.93,0.1343,7,275,282,9.84,12.120000000000001,93.0,8.9981,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,17,0,Senin,1,2,0.24,0.2576,0.96,0.1045,6,270,276,9.84,12.879999999999999,96.0,7.0015,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,16,0,Senin,1,2,0.24,0.2424,0.93,0.1642,14,108,122,9.84,12.120000000000001,93.0,11.0014,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,15,0,Senin,1,2,0.22,0.2121,1.0,0.2239,10,64,74,9.02,10.605,100.0,15.001299999999999,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,6,0,Selasa,1,2,0.32,0.3182,0.93,0.194,1,88,89,13.120000000000001,15.909999999999998,93.0,12.998000000000001,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,14,0,Senin,1,3,0.22,0.2273,0.93,0.194,13,48,61,9.02,11.365,93.0,12.998000000000001,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,7,0,Selasa,1,2,0.32,0.3333,0.93,0.1343,11,221,232,13.120000000000001,16.665,93.0,8.9981,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,9,0,Selasa,1,2,0.32,0.3333,0.87,0.0896,11,244,255,13.120000000000001,16.665,87.0,6.0032,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,0,0,Rabu,1,1,0.26,0.303,0.93,0.0,6,25,31,10.66,15.15,93.0,0.0,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,23,0,Selasa,1,1,0.32,0.3485,0.76,0.0,19,80,99,13.120000000000001,17.424999999999997,76.0,0.0,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,22,0,Selasa,1,1,0.32,0.3485,0.81,0.0,14,111,125,13.120000000000001,17.424999999999997,81.0,0.0,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,21,0,Selasa,1,1,0.36,0.3788,0.71,0.0,18,154,172,14.76,18.94,71.0,0.0,Sedang,Tinggi,Lemah,Rendah
Spring,1,Januari,20,0,Selasa,1,1,0.32,0.3485,0.76,0.0,18,211,229,13.120000000000001,17.424999999999997,76.0,0.0,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,19,0,Selasa,1,1,0.44,0.4394,0.51,0.0896,20,311,331,18.04,21.97,51.0,6.0032,Sedang,Sedang,Lemah,Sedang
Spring,1,Januari,18,0,Selasa,1,1,0.4,0.4091,0.62,0.0896,32,391,423,16.400000000000002,20.455000000000002,62.0,6.0032,Sedang,Sedang,Lemah,Sedang
Spring,1,Januari,17,0,Selasa,1,1,0.42,0.4242,0.67,0.0896,41,474,515,17.22,21.21,67.0,6.0032,Sedang,Tinggi,Lemah,Sedang
Spring,1,Januari,16,0,Selasa,1,1,0.4,0.4091,0.71,0.1343,35,243,278,16.400000000000002,20.455000000000002,71.0,8.9981,Sedang,Tinggi,Lemah,Rendah
Spring,1,Januari,15,0,Selasa,1,2,0.4,0.4091,0.71,0.1642,52,156,208,16.400000000000002,20.455000000000002,71.0,11.0014,Sedang,Tinggi,Lemah,Rendah
Spring,1,Januari,14,0,Selasa,1,1,0.36,0.3485,0.81,0.2239,35,138,173,14.76,17.424999999999997,81.0,15.001299999999999,Sedang,Tinggi,Lemah,Rendah
Spring,1,Januari,13,0,Selasa,1,1,0.34,0.3333,0.87,0.1642,33,170,203,13.940000000000001,16.665,87.0,11.0014,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,12,0,Selasa,1,1,0.34,0.3333,0.87,0.1642,25,150,175,13.940000000000001,16.665,87.0,11.0014,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,11,0,Selasa,1,1,0.34,0.3333,0.87,0.1343,30,123,153,13.940000000000001,16.665,87.0,8.9981,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,10,0,Selasa,1,1,0.32,0.3333,0.93,0.0896,23,93,116,13.120000000000001,16.665,93.0,6.0032,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,8,0,Selasa,1,2,0.32,0.3333,0.93,0.1343,11,479,490,13.120000000000001,16.665,93.0,8.9981,Dingin,Tinggi,Lemah,Sedang
Spring,1,Januari,1,0,Rabu,1,1,0.3,0.2879,0.7,0.2239,4,9,13,12.299999999999999,14.395,70.0,15.001299999999999,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,13,0,Senin,1,3,0.22,0.2576,0.93,0.0896,5,32,37,9.02,12.879999999999999,93.0,6.0032,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,11,0,Senin,1,2,0.2,0.2273,0.93,0.0896,5,57,62,8.200000000000001,11.365,93.0,6.0032,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,15,0,Minggu,0,2,0.16,0.1515,0.8,0.194,27,149,176,6.5600000000000005,7.575,80.0,12.998000000000001,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,14,0,Minggu,0,2,0.16,0.1667,0.8,0.1642,19,163,182,6.5600000000000005,8.334999999999999,80.0,11.0014,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,13,0,Minggu,0,2,0.16,0.1818,0.8,0.1343,24,175,199,6.5600000000000005,9.09,80.0,8.9981,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,12,0,Minggu,0,2,0.16,0.1515,0.8,0.2239,24,161,185,6.5600000000000005,7.575,80.0,15.001299999999999,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,11,0,Minggu,0,3,0.16,0.1515,0.8,0.2537,18,115,133,6.5600000000000005,7.575,80.0,16.997899999999998,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,10,0,Minggu,0,2,0.16,0.1364,0.74,0.2836,9,120,129,6.5600000000000005,6.819999999999999,74.0,19.0012,Dingin,Tinggi,Sedang,Rendah
Spring,1,Januari,9,0,Minggu,0,2,0.16,0.1515,0.74,0.2239,9,54,63,6.5600000000000005,7.575,74.0,15.001299999999999,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,8,0,Minggu,0,2,0.16,0.1515,0.74,0.2239,3,29,32,6.5600000000000005,7.575,74.0,15.001299999999999,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,7,0,Minggu,0,2,0.16,0.1515,0.74,0.2239,2,11,13,6.5600000000000005,7.575,74.0,15.001299999999999,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,6,0,Minggu,0,2,0.16,0.1515,0.74,0.2239,0,4,4,6.5600000000000005,7.575,74.0,15.001299999999999,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,5,0,Minggu,0,3,0.16,0.1515,0.74,0.2239,1,2,3,6.5600000000000005,7.575,74.0,15.001299999999999,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,4,0,Minggu,0,3,0.16,0.1364,0.8,0.2836,1,1,2,6.5600000000000005,6.819999999999999,80.0,19.0012,Dingin,Tinggi,Sedang,Rendah
Spring,1,Januari,3,0,Minggu,0,2,0.18,0.1667,0.69,0.2836,1,20,21,7.38,8.334999999999999,69.0,19.0012,Dingin,Tinggi,Sedang,Rendah
Spring,1,Januari,2,0,Minggu,0,2,0.18,0.1667,0.74,0.2836,1,46,47,7.38,8.334999999999999,74.0,19.0012,Dingin,Tinggi,Sedang,Rendah
Spring,1,Januari,1,0,Minggu,0,2,0.18,0.1667,0.74,0.2985,1,49,50,7.38,8.334999999999999,74.0,19.999499999999998,Dingin,Tinggi,Sedang,Rendah
Spring,1,Januari,16,0,Minggu,0,2,0.16,0.1515,0.8,0.194,12,143,155,6.5600000000000005,7.575,80.0,12.998000000000001,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,12,0,Senin,1,2,0.22,0.2727,0.93,0.0,10,52,62,9.02,13.635,93.0,0.0,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,17,0,Minggu,0,2,0.16,0.1818,0.8,0.1045,8,100,108,6.5600000000000005,9.09,80.0,7.0015,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,19,0,Minggu,0,3,0.16,0.1818,0.86,0.1045,9,80,89,6.5600000000000005,9.09,86.0,7.0015,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,10,0,Senin,1,2,0.2,0.2576,0.93,0.0,10,139,149,8.200000000000001,12.879999999999999,93.0,0.0,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,9,0,Senin,1,2,0.2,0.2273,0.86,0.0896,13,198,211,8.200000000000001,11.365,86.0,6.0032,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,8,0,Senin,1,3,0.2,0.2121,0.86,0.1343,5,267,272,8.200000000000001,10.605,86.0,8.9981,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,7,0,Senin,1,3,0.2,0.2576,0.86,0.0,8,114,122,8.200000000000001,12.879999999999999,86.0,0.0,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,6,0,Senin,1,2,0.2,0.2576,0.86,0.0,6,36,42,8.200000000000001,12.879999999999999,86.0,0.0,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,5,0,Senin,1,2,0.2,0.2576,0.86,0.0,0,19,19,8.200000000000001,12.879999999999999,86.0,0.0,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,4,0,Senin,1,2,0.2,0.2576,0.8,0.0,0,1,1,8.200000000000001,12.879999999999999,80.0,0.0,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,3,0,Senin,1,2,0.18,0.2424,0.86,0.0,0,1,1,7.38,12.120000000000001,86.0,0.0,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,2,0,Senin,1,2,0.18,0.2121,0.86,0.1045,0,2,2,7.38,10.605,86.0,7.0015,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,1,0,Senin,1,2,0.18,0.2121,0.86,0.1045,0,4,4,7.38,10.605,86.0,7.0015,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,0,0,Senin,1,2,0.18,0.2424,0.86,0.0,2,17,19,7.38,12.120000000000001,86.0,0.0,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,23,0,Minggu,0,2,0.16,0.1818,0.93,0.1045,2,35,37,6.5600000000000005,9.09,93.0,7.0015,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,22,0,Minggu,0,2,0.16,0.197,0.93,0.0896,0,58,58,6.5600000000000005,9.85,93.0,6.0032,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,21,0,Minggu,0,3,0.16,0.1818,0.86,0.1045,8,36,44,6.5600000000000005,9.09,86.0,7.0015,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,20,0,Minggu,0,3,0.16,0.1667,0.86,0.1642,5,69,74,6.5600000000000005,8.334999999999999,86.0,11.0014,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,18,0,Minggu,0,3,0.16,0.1818,0.86,0.1045,11,110,121,6.5600000000000005,9.09,86.0,7.0015,Dingin,Tinggi,Lemah,Rendah
